reference_product,unit,process_role,category,dataset_count
2-methylpentane,kilogram,market,material/Chemicals/Organic/Market,1
2-methylpentane,kilogram,transformation,material/Chemicals/Organic/Transformation,2
2-nitroaniline,kilogram,market,material/Chemicals/Organic/Market,1
2-nitroaniline,kilogram,transformation,material/Chemicals/Organic/Transformation,2
2-pyridinol,kilogram,market,material/Chemicals/Organic/Market,1
2-pyridinol,kilogram,transformation,material/Chemicals/Organic/Transformation,2
3-methyl-1-butanol,kilogram,market,material/Chemicals/Organic/Market,1
3-methyl-1-butanol,kilogram,transformation,material/Chemicals/Organic/Transformation,2
3-methyl-1-butyl acetate,kilogram,market,material/Chemicals/Organic/Market,1
3-methyl-1-butyl acetate,kilogram,transformation,material/Chemicals/Organic/Transformation,2
3-methylpyridine,kilogram,market,material/Chemicals/Organic/Market,2
3-methylpyridine,kilogram,transformation,material/Chemicals/Organic/Transformation,2
4-methyl-2-pentanone,kilogram,market,material/Chemicals/Organic/Market,1
4-methyl-2-pentanone,kilogram,transformation,material/Chemicals/Organic/Transformation,2
4-tert-butylbenzaldehyde,kilogram,market,material/Chemicals/Organic/Market,1
4-tert-butylbenzaldehyde,kilogram,transformation,material/Chemicals/Organic/Transformation,2
4-tert-butyltoluene,kilogram,market,material/Chemicals/Organic/Market,2
4-tert-butyltoluene,kilogram,market,material/Others/Obsolete,1
4-tert-butyltoluene,kilogram,transformation,material/Chemicals/Organic/Transformation,2
6-benzyladenine,kilogram,market,material/Chemicals/Organic/Market,1
6-benzyladenine,kilogram,transformation,material/Chemicals/Organic/Transformation,1
[sulfonyl]urea-compound,kilogram,market,material/Chemicals/Pesticides/Market,1
[sulfonyl]urea-compound,kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
[thio]carbamate-compound,kilogram,market,material/Chemicals/Pesticides/Market,1
[thio]carbamate-compound,kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
"absorption chiller, 100kW",unit,market,energy/Cogeneration/Gas/Market/Infrastructure,1
"absorption chiller, 100kW",unit,transformation,energy/Cogeneration/Gas/Transformation/Infrastructure,2
acetaldehyde,kilogram,market,material/Chemicals/Organic/Market,1
acetaldehyde,kilogram,transformation,material/Chemicals/Organic/Transformation,2
"acetamide-anillide-compound, unspecified",kilogram,market,material/Chemicals/Pesticides/Market,1
"acetamide-anillide-compound, unspecified",kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
acetanilide,kilogram,market,material/Chemicals/Organic/Market,1
acetanilide,kilogram,transformation,material/Chemicals/Organic/Transformation,2
"acetic acid, without water, in 98% solution state",kilogram,market,material/Chemicals/Acids (organic)/Market,1
"acetic acid, without water, in 98% solution state",kilogram,transformation,material/Chemicals/Acids (organic)/Transformation,6
acetic anhydride,kilogram,market,material/Chemicals/Organic/Market,1
acetic anhydride,kilogram,market,material/Others/Obsolete,2
acetic anhydride,kilogram,transformation,material/Chemicals/Organic/Transformation,4
acetoacetic acid,kilogram,market,material/Chemicals/Acids (organic)/Market,1
acetoacetic acid,kilogram,transformation,material/Chemicals/Organic/Transformation,2
acetone cyanohydrin,kilogram,market,material/Chemicals/Organic/Market,2
acetone cyanohydrin,kilogram,market,material/Others/Obsolete,1
acetone cyanohydrin,kilogram,transformation,material/Chemicals/Organic/Transformation,2
"acetone, liquid",kilogram,market,material/Chemicals/Organic/Market,2
"acetone, liquid",kilogram,market,material/Others/Obsolete,1
"acetone, liquid",kilogram,transformation,material/Chemicals/Organic/Transformation,8
"acetone, liquid",kilogram,transformation,material/Others/Obsolete,4
acetonitrile,kilogram,market,material/Chemicals/Organic/Market,1
acetonitrile,kilogram,transformation,material/Chemicals/Organic/Transformation,2
acetyl chloride,kilogram,market,material/Chemicals/Acids (organic)/Market,1
acetyl chloride,kilogram,transformation,material/Chemicals/Organic/Transformation,2
acetylene,kilogram,market,material/Chemicals/Organic/Market,2
acetylene,kilogram,market,material/Others/Obsolete,1
acetylene,kilogram,transformation,material/Chemicals/Organic/Transformation,2
acetylene,kilogram,transformation,material/Others/Obsolete,1
aclonifen,kilogram,market,material/Chemicals/Pesticides/Market,1
aclonifen,kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
acrolein,kilogram,market,material/Chemicals/Organic/Market,1
acrolein,kilogram,transformation,material/Chemicals/Organic/Transformation,2
acrylic acid,kilogram,market,material/Chemicals/Acids (organic)/Market,2
acrylic acid,kilogram,market,material/Others/Obsolete,1
acrylic acid,kilogram,transformation,material/Chemicals/Acids (organic)/Transformation,2
"acrylic binder, with water, in 54% solution state",kilogram,market,material/Chemicals/Organic/Market,2
"acrylic binder, with water, in 54% solution state",kilogram,transformation,material/Chemicals/Organic/Transformation,2
"acrylic binder, without water, in 34% solution state",kilogram,market,material/Others/Obsolete,1
"acrylic dispersion, with water, in 58% solution state",kilogram,market,material/Chemicals/Organic/Market,2
"acrylic dispersion, with water, in 58% solution state",kilogram,transformation,material/Chemicals/Organic/Transformation,2
"acrylic dispersion, without water, in 65% solution state",kilogram,market,material/Others/Obsolete,1
acrylic filler,kilogram,market,material/Construction/Coverings/Market,2
acrylic filler,kilogram,market,material/Others/Obsolete,1
acrylic filler,kilogram,transformation,material/Construction/Coverings/Transformation,2
"acrylic varnish, with water, in 53% solution state",kilogram,market,material/Construction/Paints/Market,2
"acrylic varnish, with water, in 53% solution state",kilogram,transformation,material/Construction/Paints/Transformation,2
"acrylic varnish, without water, in 87.5% solution state",kilogram,market,material/Others/Obsolete,1
acrylonitrile,kilogram,market,material/Chemicals/Organic/Market,1
acrylonitrile,kilogram,transformation,material/Chemicals/Organic/Transformation,2
acrylonitrile-butadiene-styrene copolymer,kilogram,market,material/Plastics/Rubbers/Market,1
acrylonitrile-butadiene-styrene copolymer,kilogram,transformation,material/Plastics/Rubbers/Transformation,2
activated bentonite,kilogram,market,material/Chemicals/Inorganic/Market,1
activated bentonite,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
"activated carbon, granular",kilogram,market,material/Chemicals/Organic/Market,1
"activated carbon, granular",kilogram,transformation,material/Chemicals/Organic/Transformation,2
"activated carbon, granular",kilogram,transformation,processing/Others/Transformation,2
activated silica,kilogram,market,material/Chemicals/Inorganic/Market,1
activated silica,kilogram,transformation,material/Chemicals/Inorganic/Transformation,1
adhesive mortar,kilogram,market,material/Construction/Binders/Market,1
adhesive mortar,kilogram,transformation,material/Construction/Binders/Transformation,2
"adhesive, for metal",kilogram,market,material/Chemicals/Others/Market,2
"adhesive, for metal",kilogram,market,material/Others/Obsolete,1
"adhesive, for metal",kilogram,transformation,material/Chemicals/Others/Transformation,2
adipic acid,kilogram,market,material/Chemicals/Acids (organic)/Market,1
adipic acid,kilogram,transformation,material/Chemicals/Acids (organic)/Transformation,2
adiponitrile,kilogram,market,material/Chemicals/Organic/Market,2
adiponitrile,kilogram,transformation,material/Chemicals/Organic/Transformation,2
"agricultural machinery, tillage",kilogram,market,processing/Agricultural/Market/Infrastructure,1
"agricultural machinery, tillage",kilogram,transformation,processing/Agricultural/Transformation/Infrastructure,2
"agricultural machinery, unspecified",kilogram,market,processing/Agricultural/Market/Infrastructure,1
"agricultural machinery, unspecified",kilogram,transformation,processing/Agricultural/Transformation/Infrastructure,2
agricultural trailer,kilogram,market,transport/Road/Market/Infrastructure,1
agricultural trailer,kilogram,transformation,transport/Road/Transformation/Infrastructure,2
"air compressor, screw-type compressor, 300kW",unit,market,processing/Compressed air/Market/Infrastructure,1
"air compressor, screw-type compressor, 300kW",unit,transformation,processing/Compressed air/Transformation/Infrastructure,2
"air compressor, screw-type compressor, 4kW",unit,market,processing/Compressed air/Market/Infrastructure,1
"air compressor, screw-type compressor, 4kW",unit,transformation,processing/Compressed air/Transformation/Infrastructure,2
"air distribution terminal panel, steel, 120 m3/h",unit,market,material/Construction/Ventilation/Market,1
"air distribution terminal panel, steel, 120 m3/h",unit,transformation,material/Construction/Ventilation/Transformation,2
"air filter, central unit, 600 m3/h",unit,market,material/Construction/Ventilation/Market,1
"air filter, central unit, 600 m3/h",unit,transformation,material/Construction/Ventilation/Transformation,2
"air filter, decentralized unit, 180-250 m3/h",unit,market,material/Construction/Ventilation/Market,1
"air filter, decentralized unit, 180-250 m3/h",unit,transformation,material/Construction/Ventilation/Transformation,2
"air filter, decentralized unit, 250 m3/h",unit,market,material/Construction/Ventilation/Market,1
"air filter, decentralized unit, 250 m3/h",unit,transformation,material/Construction/Ventilation/Transformation,2
"air filter, in exhaust air valve",unit,market,material/Construction/Ventilation/Market,1
"air filter, in exhaust air valve",unit,transformation,material/Construction/Ventilation/Transformation,2
"air input/output unit, heat and power co-generation unit, 160kW electrical",unit,market,energy/Cogeneration/Gas/Market/Infrastructure,1
"air input/output unit, heat and power co-generation unit, 160kW electrical",unit,transformation,energy/Cogeneration/Gas/Transformation/Infrastructure,2
air separation facility,unit,market,material/Chemicals/Gases/Market/Infrastructure,1
air separation facility,unit,transformation,material/Chemicals/Gases/Transformation/Infrastructure,2
"aircraft, belly freight, long haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, belly freight, long haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, belly freight, medium haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, belly freight, medium haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, belly freight, short haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, belly freight, short haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, belly freight, very short haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, belly freight, very short haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, dedicated freight, long haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, dedicated freight, long haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, dedicated freight, medium haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, dedicated freight, medium haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, dedicated freight, short haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, dedicated freight, short haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, dedicated freight, very short haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, dedicated freight, very short haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, long haul",unit,market,transport/Others/Obsolete,1
"aircraft, long haul",unit,transformation,transport/Others/Obsolete,2
"aircraft, medium haul",unit,market,transport/Others/Obsolete,1
"aircraft, medium haul",unit,transformation,transport/Others/Obsolete,2
"aircraft, passenger, long haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, passenger, long haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, passenger, medium haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, passenger, medium haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, passenger, short haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, passenger, short haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
"aircraft, passenger, very short haul",unit,market,transport/Air/Market/Infrastructure,1
"aircraft, passenger, very short haul",unit,transformation,transport/Air/Transformation/Infrastructure,1
airport,unit,market,transport/Air/Market/Infrastructure,1
airport,unit,transformation,transport/Air/Transformation/Infrastructure,2
"alfalfa-grass mixture, Swiss integrated production",kilogram,market,material/Agricultural/Plant production/Roughage/Market,1
"alfalfa-grass mixture, Swiss integrated production",kilogram,transformation,material/Agricultural/Plant production/Roughage/Transformation,1
alfalfa-grass silage,kilogram,market,material/Agricultural/Plant production/Roughage/Market,1
alfalfa-grass silage,kilogram,transformation,material/Agricultural/Plant production/Roughage/Transformation,3
"alkyd paint, white, without solvent, in 60% solution state",kilogram,market,material/Construction/Paints/Market,2
"alkyd paint, white, without solvent, in 60% solution state",kilogram,market,material/Others/Obsolete,1
"alkyd paint, white, without solvent, in 60% solution state",kilogram,transformation,material/Construction/Paints/Transformation,2
"alkyd paint, white, without water, in 60% solution state",kilogram,market,material/Construction/Paints/Market,2
"alkyd paint, white, without water, in 60% solution state",kilogram,market,material/Others/Obsolete,1
"alkyd paint, white, without water, in 60% solution state",kilogram,transformation,material/Construction/Paints/Transformation,2
"alkyd resin, long oil, without solvent, in 70% white spirit solution state",kilogram,market,material/Chemicals/Organic/Market,2
"alkyd resin, long oil, without solvent, in 70% white spirit solution state",kilogram,market,material/Others/Obsolete,1
"alkyd resin, long oil, without solvent, in 70% white spirit solution state",kilogram,transformation,material/Chemicals/Organic/Transformation,2
alkyl sulphate (C12-14),kilogram,market,material/Chemicals/Organic/Market,1
alkyl sulphate (C12-14),kilogram,transformation,material/Chemicals/Organic/Transformation,1
"alkylbenzene sulfonate, linear, petrochemical",kilogram,market,material/Chemicals/Washing agents/Tensides/Market,1
"alkylbenzene sulfonate, linear, petrochemical",kilogram,transformation,material/Chemicals/Washing agents/Tensides/Transformation,2
"alkylbenzene, linear",kilogram,market,material/Chemicals/Organic/Market,1
"alkylbenzene, linear",kilogram,transformation,material/Chemicals/Organic/Transformation,3
"alkylketene dimer sizing agent, for paper production",kilogram,market,material/Chemicals/Others/Market,2
"alkylketene dimer sizing agent, for paper production",kilogram,market,material/Others/Obsolete,1
"alkylketene dimer sizing agent, for paper production",kilogram,transformation,material/Chemicals/Others/Transformation,2
allyl chloride,kilogram,market,material/Chemicals/Organic/Market,2
allyl chloride,kilogram,market,material/Others/Obsolete,1
allyl chloride,kilogram,transformation,material/Chemicals/Organic/Transformation,2
almond,kilogram,market,material/Agricultural/Food/Market,1
almond,kilogram,transformation,material/Agricultural/Food/Transformation,3
alpha-naphthol,kilogram,market,material/Chemicals/Organic/Market,1
alpha-naphthol,kilogram,transformation,material/Chemicals/Organic/Transformation,2
alpha-picoline,kilogram,market,material/Chemicals/Organic/Market,1
alpha-picoline,kilogram,transformation,material/Chemicals/Organic/Transformation,2
aluminium (waste treatment),kilogram,transformation,waste treatment/Recycling/Transformation,1
"aluminium alloy, AlLi",kilogram,market,material/Metals/Alloys/Market,1
"aluminium alloy, AlLi",kilogram,transformation,material/Metals/Alloys/Transformation,2
"aluminium alloy, AlMg3",kilogram,market,material/Metals/Alloys/Market,1
"aluminium alloy, AlMg3",kilogram,transformation,material/Metals/Alloys/Transformation,2
"aluminium alloy, metal matrix composite",kilogram,market,material/Metals/Alloys/Market,1
"aluminium alloy, metal matrix composite",kilogram,transformation,material/Metals/Alloys/Transformation,2
"aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",meter,market,material/Metals/Alloys/Market,1
"aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",meter,transformation,material/Metals/Alloys/Transformation,2
"aluminium around steel bi-metal wire, 3.67mm external diameter",meter,market,material/Metals/Alloys/Market,1
"aluminium around steel bi-metal wire, 3.67mm external diameter",meter,transformation,material/Metals/Alloys/Transformation,2
aluminium casting facility,unit,market,material/Metals/Non ferro/Market/Infrastructure,1
aluminium casting facility,unit,transformation,material/Metals/Non ferro/Transformation/Infrastructure,2
aluminium chloride,kilogram,market,material/Chemicals/Inorganic/Market,1
aluminium chloride,kilogram,transformation,material/Chemicals/Inorganic/Transformation,1
"aluminium collector foil, for Li-ion battery",kilogram,market,material/Electronics/Battery/Market,1
"aluminium collector foil, for Li-ion battery",kilogram,transformation,material/Electronics/Battery/Transformation,1
aluminium electrolysis facility,unit,market,material/Metals/Non ferro/Market/Infrastructure,1
aluminium electrolysis facility,unit,transformation,material/Metals/Non ferro/Transformation/Infrastructure,2
aluminium fluoride,kilogram,market,material/Chemicals/Inorganic/Market,1
aluminium fluoride,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
aluminium hydroxide,kilogram,market,material/Chemicals/Inorganic/Market,1
aluminium hydroxide,kilogram,transformation,material/Chemicals/Inorganic/Transformation,8
aluminium hydroxide,kilogram,transformation,material/Others/Obsolete,1
aluminium hydroxide factory,unit,market,material/Metals/Non ferro/Market/Infrastructure,1
aluminium hydroxide factory,unit,transformation,material/Metals/Non ferro/Transformation/Infrastructure,2
aluminium in car shredder residue,kilogram,market,waste treatment/Metals/Market,2
aluminium in car shredder residue,kilogram,market,waste treatment/Others/Obsolete,1
aluminium in car shredder residue,kilogram,transformation,waste treatment/Metals/Transformation,3
aluminium melting furnace,unit,market,material/Metals/Non ferro/Market/Infrastructure,1
aluminium melting furnace,unit,transformation,material/Metals/Non ferro/Transformation/Infrastructure,2
aluminium oxide,kilogram,market,material/Others/Obsolete,1
aluminium oxide,kilogram,transformation,material/Others/Obsolete,8
aluminium oxide factory,unit,market,material/Chemicals/Inorganic/Market/Infrastructure,1
aluminium oxide factory,unit,transformation,material/Chemicals/Inorganic/Transformation/Infrastructure,2
"aluminium oxide, metallurgical",kilogram,market,material/Chemicals/Inorganic/Market,2
"aluminium oxide, metallurgical",kilogram,transformation,material/Chemicals/Inorganic/Market/Import,3
"aluminium oxide, metallurgical",kilogram,transformation,material/Chemicals/Inorganic/Transformation,7
"aluminium oxide, non-metallurgical",kilogram,market,material/Chemicals/Inorganic/Market,2
"aluminium oxide, non-metallurgical",kilogram,transformation,material/Chemicals/Inorganic/Transformation,11
"aluminium removed by drilling, computer numerical controlled",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by drilling, computer numerical controlled",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by drilling, conventional",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by drilling, conventional",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by milling, average",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by milling, average",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by milling, dressing",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by milling, dressing",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by milling, large parts",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by milling, large parts",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by milling, small parts",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by milling, small parts",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by turning, average, computer numerical controlled",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by turning, average, computer numerical controlled",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by turning, average, conventional",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by turning, average, conventional",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by turning, primarily dressing, computer numerical controlled",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by turning, primarily dressing, computer numerical controlled",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by turning, primarily dressing, conventional",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by turning, primarily dressing, conventional",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by turning, primarily roughing, computer numerical controlled",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by turning, primarily roughing, computer numerical controlled",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium removed by turning, primarily roughing, conventional",kilogram,market,processing/Metals/Chipping/Market,1
"aluminium removed by turning, primarily roughing, conventional",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"aluminium scrap, new",kilogram,market,material/Metals/Non ferro/Market,2
"aluminium scrap, new",kilogram,market,waste treatment/Others/Obsolete,2
"aluminium scrap, new",kilogram,transformation,material/Metals/Non ferro/Transformation,1
"aluminium scrap, new",kilogram,transformation,material/Others/Obsolete,1
"aluminium scrap, post-consumer",kilogram,market,material/Metals/Non ferro/Market,1
"aluminium scrap, post-consumer",kilogram,market,waste treatment/Others/Obsolete,1
"aluminium scrap, post-consumer",kilogram,transformation,material/Metals/Non ferro/Transformation,1
"aluminium scrap, post-consumer, prepared for melting",kilogram,market,material/Metals/Non ferro/Market,1
"aluminium scrap, post-consumer, prepared for melting",kilogram,market,waste treatment/Others/Obsolete,1
"aluminium scrap, post-consumer, prepared for melting",kilogram,transformation,material/Metals/Non ferro/Transformation,1
"aluminium scrap, post-consumer, prepared for melting",kilogram,transformation,material/Metals/Waste metals/Transformation,6
"aluminium scrap, post-consumer, prepared for melting",kilogram,transformation,processing/Transformation/Metals,2
"aluminium scrap, post-consumer, prepared for melting",kilogram,transformation,waste treatment/Others/Obsolete,6
"aluminium sulfate, powder",kilogram,market,material/Chemicals/Inorganic/Market,2
"aluminium sulfate, powder",kilogram,market,material/Others/Obsolete,1
"aluminium sulfate, powder",kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
"aluminium sulfate, without water, in 4.33% aluminium solution state",kilogram,market,material/Chemicals/Inorganic/Market,1
"aluminium sulfate, without water, in 4.33% aluminium solution state",kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
"aluminium, cast alloy",kilogram,market,material/Metals/Alloys/Market,1
"aluminium, cast alloy",kilogram,transformation,material/Metals/Alloys/Transformation,1
"aluminium, cast alloy",kilogram,transformation,material/Metals/Non ferro/Transformation,4
"aluminium, in mixed metal scrap",kilogram,market,material/Metals/Non ferro/Market,3
"aluminium, in mixed metal scrap",kilogram,transformation,material/Metals/Non ferro/Transformation,1
"aluminium, primary, cast alloy slab from continuous casting",kilogram,market,material/Metals/Non ferro/Market,1
"aluminium, primary, cast alloy slab from continuous casting",kilogram,transformation,material/Metals/Non ferro/Transformation,2
"aluminium, primary, ingot",kilogram,market,material/Metals/Non ferro/Market,3
"aluminium, primary, ingot",kilogram,market,material/Others/Obsolete,1
"aluminium, primary, ingot",kilogram,transformation,material/Metals/Non ferro/Market/Import,15
"aluminium, primary, ingot",kilogram,transformation,material/Metals/Non ferro/Transformation,10
"aluminium, primary, ingot",kilogram,transformation,material/Others/Obsolete,10
"aluminium, primary, liquid",kilogram,market,material/Metals/Non ferro/Market,1
"aluminium, primary, liquid",kilogram,transformation,material/Metals/Non ferro/Transformation,15
"aluminium, primary, liquid",kilogram,transformation,material/Others/Obsolete,17
"aluminium, wrought alloy",kilogram,market,material/Metals/Alloys/Market,1
"aluminium, wrought alloy",kilogram,transformation,material/Metals/Alloys/Transformation,1
"aluminium, wrought alloy",kilogram,transformation,material/Metals/Non ferro/Transformation,4
amidosulfuron,kilogram,market,material/Chemicals/Organic/Market,1
amidosulfuron,kilogram,transformation,material/Chemicals/Organic/Transformation,1
amine oxide,kilogram,market,material/Chemicals/Organic/Market,1
amine oxide,kilogram,transformation,material/Chemicals/Organic/Transformation,2
aminopyridine,kilogram,market,material/Chemicals/Organic/Market,2
aminopyridine,kilogram,market,material/Others/Obsolete,1
aminopyridine,kilogram,transformation,material/Chemicals/Organic/Transformation,2
"ammonia, anhydrous, liquid",kilogram,market,material/Chemicals/Fertilisers (inorganic)/Market,9
"ammonia, anhydrous, liquid",kilogram,transformation,material/Chemicals/Fertilisers (inorganic)/Transformation,16
"ammonia, liquid",kilogram,transformation,material/Others/Obsolete,2
ammonium bicarbonate,kilogram,market,material/Chemicals/Inorganic/Market,2
ammonium bicarbonate,kilogram,market,material/Others/Obsolete,1
ammonium bicarbonate,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
ammonium carbonate,kilogram,market,material/Chemicals/Organic/Market,2
ammonium carbonate,kilogram,market,material/Others/Obsolete,1
ammonium carbonate,kilogram,transformation,material/Chemicals/Organic/Transformation,2
ammonium chloride,kilogram,market,material/Chemicals/Inorganic/Market,1
ammonium chloride,kilogram,transformation,material/Chemicals/Inorganic/Transformation,3
ammonium nitrate,kilogram,market,material/Chemicals/Fertilisers (inorganic)/Market,4
ammonium nitrate,kilogram,transformation,material/Chemicals/Fertilisers (inorganic)/Transformation,6
ammonium nitrate phosphate,kilogram,market,material/Chemicals/Fertilisers (inorganic)/Market,4
ammonium nitrate phosphate,kilogram,transformation,material/Chemicals/Fertilisers (inorganic)/Transformation,4
"ammonium nitrate, as N",kilogram,market,material/Others/Obsolete,1
"ammonium nitrate, as N",kilogram,transformation,material/Others/Obsolete,8
ammonium nitrite,kilogram,market,material/Chemicals/Pesticides/Market,1
ammonium nitrite,kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
ammonium paratungstate,kilogram,market,material/Chemicals/Inorganic/Market,1
ammonium paratungstate,kilogram,transformation,material/Chemicals/Inorganic/Transformation,5
ammonium sulfate,kilogram,market,material/Chemicals/Inorganic/Market,2
ammonium sulfate,kilogram,transformation,material/Chemicals/Inorganic/Transformation,6
"ammonium sulfate, as N",kilogram,market,material/Others/Obsolete,1
"ammonium sulfate, as N",kilogram,transformation,material/Others/Obsolete,5
ammonium thiocyanate,kilogram,market,material/Chemicals/Organic/Market,1
