name,reference product,location,unit,outcome,previous_confidence,candidate_confidence,candidate_deprecated,candidate_geographic_proxy,evidence,previous_target,candidate_target,candidate_method,candidate_reasoning,lineage_kind,lineage_scope,lineage_file,lineage_source,lineage_comment,lineage_fit,lineage_confidence,lineage_flags,screening_flags,followup_outcome,followup_reason,final_confidence
intensive beef cattle production on pasture,"weaned heifers, live weight",RoW,kilogram,same_target,0.114668,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""intensive beef cattle production on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.114668
"weaned calves production on native pasture, Pantanal","weaned heifers, live weight",BR,kilogram,same_target,0.117527,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""weaned calves production on native pasture, Pantanal"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.117527
weaned calves production on pasture,"weaned heifers, live weight",BR,kilogram,same_target,0.11822,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""weaned calves production on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.11822
weaned calves production on pasture,"weaned heifers, live weight",RoW,kilogram,same_target,0.11822,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""weaned calves production on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.11822
weaned calves production on pasture,"weaned heifers, live weight",ZA,kilogram,same_target,0.11822,0.4,True,True,Both mappings select the identical target.,"{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}","{""location"": ""US"", ""name"": ""xx Sheep for slaughtering, live weight, at farm"", ""reference product"": ""xx Sheep for slaughtering, live weight, at farm"", ""unit"": ""kilogram""}",review,"[Manual] rough proxy: reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned) | Reviewed by hand (Karin).",script_reuse,exact_source,mapping_decisions.json,"{""location"": ""ZA"", ""name"": ""weaned calves production on pasture"", ""reference product"": ""weaned heifers, live weight"", ""unit"": ""kilogram""}","reuse: same BAFU target as your other 'weaned heifers, live weight' mappings (learned)",rough proxy,0.4,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.11822
"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations",pitch,ZA,kilogram,same_target,0.119946,1,False,True,Both mappings select the identical target.,"{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}",review,[Manual] exact: reuse: same BAFU target as your other 'pitch' mappings (learned) | Reviewed by hand (Karin).,script_reuse,exact_source,mapping_decisions.json,"{""location"": ""ZA"", ""name"": ""synthetic fuel production, from coal, high temperature Fisher-Tropsch operations"", ""reference product"": ""pitch"", ""unit"": ""kilogram""}",reuse: same BAFU target as your other 'pitch' mappings (learned),exact,1.0,,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.119946
"market for shed, large, wood, non-insulated, fire-unprotected","shed, large, wood, non-insulated, fire-unprotected",GLO,square meter,same_target,0.130887,1,False,True,Both mappings select the identical target.,"{""location"": ""CH"", ""name"": ""Shed"", ""reference product"": ""Shed"", ""unit"": ""square meter""}","{""location"": ""CH"", ""name"": ""Shed"", ""reference product"": ""Shed"", ""unit"": ""square meter""}",review,[Manual] Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""GLO"", ""name"": ""market for shed, large, wood, non-insulated, fire-unprotected"", ""reference product"": ""shed, large, wood, non-insulated, fire-unprotected"", ""unit"": ""square meter""}",,,1.0,,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.130887
"catch crop growing, phacelia, September-October, organic fertiliser 60 kg N",phacelia silage,RoW,kilogram,same_target,0.134813,1,False,True,Both mappings select the identical target.,"{""location"": ""CH"", ""name"": ""Silage maize organic, at farm"", ""reference product"": ""Silage maize organic, at farm"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Silage maize organic, at farm"", ""reference product"": ""Silage maize organic, at farm"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).,recorded_decision,inherited_location,mapping_decisions.json,"{""location"": ""CH"", ""name"": ""catch crop growing, phacelia, September-October, organic fertiliser 60 kg N"", ""reference product"": ""phacelia silage"", ""unit"": ""kilogram""}",,rough proxy,0.4,choice_inherited_without_exact_source_review; inherited_confidence_exceeds_origin,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.134813
hay production,hay,CA-QC,kilogram,same_target,0.138077,1,True,True,Both mappings select the identical target.,"{""location"": ""CH"", ""name"": ""xx Hay extensive, at farm"", ""reference product"": ""xx Hay extensive, at farm"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""xx Hay extensive, at farm"", ""reference product"": ""xx Hay extensive, at farm"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""CA-QC"", ""name"": ""hay production"", ""reference product"": ""hay"", ""unit"": ""kilogram""}",,,1.0,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.138077
hay production,hay,RoW,kilogram,same_target,0.138077,1,True,True,Both mappings select the identical target.,"{""location"": ""CH"", ""name"": ""xx Hay extensive, at farm"", ""reference product"": ""xx Hay extensive, at farm"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""xx Hay extensive, at farm"", ""reference product"": ""xx Hay extensive, at farm"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""RoW"", ""name"": ""hay production"", ""reference product"": ""hay"", ""unit"": ""kilogram""}",,,1.0,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.138077
market for hay,hay,GLO,kilogram,same_target,0.146579,1,True,True,Both mappings select the identical target.,"{""location"": ""CH"", ""name"": ""xx Hay extensive, at farm"", ""reference product"": ""xx Hay extensive, at farm"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""xx Hay extensive, at farm"", ""reference product"": ""xx Hay extensive, at farm"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""GLO"", ""name"": ""market for hay"", ""reference product"": ""hay"", ""unit"": ""kilogram""}",,,1.0,,geographic_proxy; deprecated_target,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.146579
"market for sewage sludge, 70% water, WWT, WW from black chrome coating","sewage sludge, 70% water, WWT, WW from black chrome coating",RoW,kilogram,same_target,0.146979,1,False,True,Both mappings select the identical target.,"{""location"": ""CH"", ""name"": ""Disposal, raw sewage sludge, to municipal incineration"", ""reference product"": ""Disposal, raw sewage sludge, to municipal incineration"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Disposal, raw sewage sludge, to municipal incineration"", ""reference product"": ""Disposal, raw sewage sludge, to municipal incineration"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).,script_rule,inherited_location,mapping_decisions.json,"{""location"": ""CH"", ""name"": ""market for sewage sludge, 70% water, WWT, WW from black chrome coating"", ""reference product"": ""sewage sludge, 70% water, WWT, WW from black chrome coating"", ""unit"": ""kilogram""}","rule: waste disposal, material-aligned",good proxy,0.7,choice_inherited_without_exact_source_review; inherited_confidence_exceeds_origin,geographic_proxy; waste_composition_and_mass_basis_unverified,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.146979
"market for sewage sludge, 97% water, WWT, WW from black chrome coating","sewage sludge, 97% water, WWT, WW from black chrome coating",RoW,kilogram,same_target,0.146979,1,False,True,Both mappings select the identical target.,"{""location"": ""CH"", ""name"": ""Disposal, raw sewage sludge, to municipal incineration"", ""reference product"": ""Disposal, raw sewage sludge, to municipal incineration"", ""unit"": ""kilogram""}","{""location"": ""CH"", ""name"": ""Disposal, raw sewage sludge, to municipal incineration"", ""reference product"": ""Disposal, raw sewage sludge, to municipal incineration"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).,script_rule,inherited_location,mapping_decisions.json,"{""location"": ""CH"", ""name"": ""market for sewage sludge, 97% water, WWT, WW from black chrome coating"", ""reference product"": ""sewage sludge, 97% water, WWT, WW from black chrome coating"", ""unit"": ""kilogram""}","rule: waste disposal, material-aligned",good proxy,0.7,choice_inherited_without_exact_source_review; inherited_confidence_exceeds_origin,geographic_proxy; waste_composition_and_mass_basis_unverified,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.146979
"treatment of sewage sludge, 97% water, WWT, WW from hard fibreboard production, landfarming","organic phosphorus fertiliser, as P2O5",RoW,kilogram,same_target,0.147741,1,False,True,Both mappings select the identical target.,"{""location"": ""RER"", ""name"": ""Average mineral fertiliser, as P2O5, at regional storehouse"", ""reference product"": ""Average mineral fertiliser, as P2O5, at regional storehouse"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""Average mineral fertiliser, as P2O5, at regional storehouse"", ""reference product"": ""Average mineral fertiliser, as P2O5, at regional storehouse"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).,recorded_decision,inherited_location,mapping_decisions.json,"{""location"": ""RER"", ""name"": ""treatment of sewage sludge, 97% water, WWT, WW from hard fibreboard production, landfarming"", ""reference product"": ""organic phosphorus fertiliser, as P2O5"", ""unit"": ""kilogram""}",,rough proxy,0.4,choice_inherited_without_exact_source_review; inherited_confidence_exceeds_origin,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.147741
market for pitch,pitch,BR,kilogram,same_target,0.148008,1,False,True,Both mappings select the identical target.,"{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}",review,[Manual] exact:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""BR"", ""name"": ""market for pitch"", ""reference product"": ""pitch"", ""unit"": ""kilogram""}",,exact,1.0,,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.148008
market for pitch,pitch,CH,kilogram,same_target,0.148008,1,False,True,Both mappings select the identical target.,"{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}",review,[Manual] exact:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""CH"", ""name"": ""market for pitch"", ""reference product"": ""pitch"", ""unit"": ""kilogram""}",,exact,1.0,,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.148008
market for pitch,pitch,CO,kilogram,same_target,0.148008,1,False,True,Both mappings select the identical target.,"{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}",review,[Manual] exact:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""CO"", ""name"": ""market for pitch"", ""reference product"": ""pitch"", ""unit"": ""kilogram""}",,exact,1.0,,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.148008
market for pitch,pitch,Europe without Switzerland,kilogram,same_target,0.148008,1,False,True,Both mappings select the identical target.,"{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}",review,[Manual] exact:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""Europe without Switzerland"", ""name"": ""market for pitch"", ""reference product"": ""pitch"", ""unit"": ""kilogram""}",,exact,1.0,,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.148008
market for pitch,pitch,IN,kilogram,same_target,0.148008,1,False,True,Both mappings select the identical target.,"{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}",review,[Manual] exact:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""IN"", ""name"": ""market for pitch"", ""reference product"": ""pitch"", ""unit"": ""kilogram""}",,exact,1.0,,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.148008
market for pitch,pitch,PE,kilogram,same_target,0.148008,1,False,True,Both mappings select the identical target.,"{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""Pitch despergents, in paper production, at plant"", ""reference product"": ""Pitch despergents, in paper production, at plant"", ""unit"": ""kilogram""}",review,[Manual] exact:  | Reviewed by hand (Karin).,recorded_decision,exact_source,mapping_decisions.json,"{""location"": ""PE"", ""name"": ""market for pitch"", ""reference product"": ""pitch"", ""unit"": ""kilogram""}",,exact,1.0,,geographic_proxy,same_target_score_unchanged,Agreement and provenance are not independent inventory validation or score calibration.,0.148008
