name,reference product,location,unit,outcome,previous_confidence,candidate_confidence,candidate_deprecated,candidate_geographic_proxy,evidence,previous_target,candidate_target,candidate_method,candidate_reasoning
activated silica production,"sodium sulfate, anhydrite",GLO,kilogram,accept_chemical_proxy,0.274795,0.6,False,False,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""GLO"", ""name"": ""Sodium persulfate, at plant"", ""reference product"": ""Sodium persulfate, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals inorganic, at plant"", ""reference product"": ""Chemicals inorganic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic inorganic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
adiponitrile production,adiponitrile,RER,kilogram,accept_chemical_proxy,0.270862,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Acetonitrile, at plant"", ""reference product"": ""Acetonitrile, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
adiponitrile production,adiponitrile,RoW,kilogram,accept_chemical_proxy,0.190862,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Acetonitrile, at plant"", ""reference product"": ""Acetonitrile, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"air filter production, central unit, 600 m3/h","air filter, central unit, 600 m3/h",RoW,unit,accept_product_match,0.6883,0.9,False,True,Previously inspected exact-product/material-form correction from the initial review.,"{""location"": ""CH"", ""name"": ""Disposal, air filter, central unit, 600 m3/h"", ""reference product"": ""Disposal, air filter, central unit, 600 m3/h"", ""unit"": ""unit""}","{""location"": ""RER"", ""name"": ""Air filter, central unit, 600 m3/h, at plant"", ""reference product"": ""Air filter, central unit, 600 m3/h, at plant"", ""unit"": ""unit""}",structural_v2v3,"[Rule v2v3] 'X production'/'market for X' = 'X, at plant'."
"air filter production, decentralized unit, 180-250 m3/h","air filter, decentralized unit, 180-250 m3/h",RoW,unit,accept_product_match,0.720354,0.9,False,True,Previously inspected exact-product/material-form correction from the initial review.,"{""location"": ""CH"", ""name"": ""Disposal, air filter, decentralized unit, 180-250 m3/h"", ""reference product"": ""Disposal, air filter, decentralized unit, 180-250 m3/h"", ""unit"": ""unit""}","{""location"": ""RER"", ""name"": ""Air filter, decentralized unit, 180-250 m3/h, at plant"", ""reference product"": ""Air filter, decentralized unit, 180-250 m3/h, at plant"", ""unit"": ""unit""}",structural_v2v3,"[Rule v2v3] 'X production'/'market for X' = 'X, at plant'."
"air filter production, in exhaust air valve","air filter, in exhaust air valve",RoW,unit,accept_product_match,0.646038,0.9,False,True,Previously inspected exact-product/material-form correction from the initial review.,"{""location"": ""CH"", ""name"": ""Disposal, air filter, in exhaust air valve"", ""reference product"": ""Disposal, air filter, in exhaust air valve"", ""unit"": ""unit""}","{""location"": ""RER"", ""name"": ""Air filter, in exhaust air valve, at plant"", ""reference product"": ""Air filter, in exhaust air valve, at plant"", ""unit"": ""unit""}",structural_v2v3,"[Rule v2v3] 'X production'/'market for X' = 'X, at plant'."
alkyl sulphate (C12-14) production,alkyl sulphate (C12-14),GLO,kilogram,accept_chemical_proxy,0.208465,0.6,False,False,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Dimethyl sulphate, at plant"", ""reference product"": ""Dimethyl sulphate, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"allyl chloride production, reaction of propylene and chlorine","1,3-dichloropropene",RoW,kilogram,accept_chemical_proxy,0.314757,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Allyl chloride, from reacting propylene and chlorine, at plant"", ""reference product"": ""Allyl chloride, from reacting propylene and chlorine, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
alpha-naphthol production,alpha-naphthol,RER,kilogram,accept_chemical_proxy,0.184143,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Aluminium, production mix, at plant"", ""reference product"": ""Aluminium, production mix, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
alpha-naphthol production,alpha-naphthol,RoW,kilogram,accept_chemical_proxy,0.099859,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, general, production"", ""reference product"": ""Agricultural machinery, general, production"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"aluminium alloy production, AlLi","copper, cathode",CA-QC,kilogram,accept_product_identity,0.28625,0.4,True,True,"Branch has stronger reference-product token coverage under the same normalization, without losing a checked process distinction.","{""location"": ""GLO"", ""name"": ""Cathode"", ""reference product"": ""Cathode"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""xx Cathode, copper, primary copper production"", ""reference product"": ""xx Cathode, copper, primary copper production"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).
"aluminium alloy production, AlLi","copper, cathode",RoW,kilogram,accept_product_identity,0.28625,0.4,True,True,"Branch has stronger reference-product token coverage under the same normalization, without losing a checked process distinction.","{""location"": ""GLO"", ""name"": ""Cathode"", ""reference product"": ""Cathode"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""xx Cathode, copper, primary copper production"", ""reference product"": ""xx Cathode, copper, primary copper production"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).
"aluminium alloy production, Metallic Matrix Composite","copper, cathode",CA-QC,kilogram,accept_product_identity,0.279821,0.4,True,True,"Branch has stronger reference-product token coverage under the same normalization, without losing a checked process distinction.","{""location"": ""GLO"", ""name"": ""Cathode"", ""reference product"": ""Cathode"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""xx Cathode, copper, primary copper production"", ""reference product"": ""xx Cathode, copper, primary copper production"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).
"aluminium alloy production, Metallic Matrix Composite","copper, cathode",RoW,kilogram,accept_product_identity,0.279821,0.4,True,True,"Branch has stronger reference-product token coverage under the same normalization, without losing a checked process distinction.","{""location"": ""GLO"", ""name"": ""Cathode"", ""reference product"": ""Cathode"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""xx Cathode, copper, primary copper production"", ""reference product"": ""xx Cathode, copper, primary copper production"", ""unit"": ""kilogram""}",review,[Manual] rough proxy:  | Reviewed by hand (Karin).
"aluminium drilling, computer numerical controlled","aluminium removed by drilling, computer numerical controlled",RER,kilogram,accept_functional_match,0.362627,1,True,False,CNC drilling service replaces conventional drilling for the same material.,"{""location"": ""RER"", ""name"": ""xx Drilling, conventional, aluminium"", ""reference product"": ""xx Drilling, conventional, aluminium"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""xx Drilling, CNC, aluminium"", ""reference product"": ""xx Drilling, CNC, aluminium"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).
"aluminium drilling, computer numerical controlled","aluminium removed by drilling, computer numerical controlled",RoW,kilogram,accept_functional_match,0.282627,1,True,True,CNC drilling service replaces conventional drilling for the same material.,"{""location"": ""RER"", ""name"": ""xx Drilling, conventional, aluminium"", ""reference product"": ""xx Drilling, conventional, aluminium"", ""unit"": ""kilogram""}","{""location"": ""RER"", ""name"": ""xx Drilling, CNC, aluminium"", ""reference product"": ""xx Drilling, CNC, aluminium"", ""unit"": ""kilogram""}",review,[Manual] Reviewed by hand (Karin).
"aminopyridine production, Chichibabin amination",aminopyridine,RER,kilogram,accept_chemical_proxy,0.177425,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Amine-based silica production, for sorbent-based direct air capture system"", ""reference product"": ""Amine-based silica production, for sorbent-based direct air capture system"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
"aminopyridine production, Chichibabin amination",aminopyridine,RoW,kilogram,accept_chemical_proxy,0.100217,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""CH"", ""name"": ""Agricultural machinery, tillage, production"", ""reference product"": ""Agricultural machinery, tillage, production"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
anode refinery construction,anode refinery,RoW,unit,accept_product_identity,0.381439,0.85,False,True,"Branch has stronger reference-product token coverage under the same normalization, without losing a checked process distinction.","{""location"": ""RER"", ""name"": ""Refinery"", ""reference product"": ""Refinery"", ""unit"": ""unit""}","{""location"": ""SE"", ""name"": ""Facilities anode refinery, secondary copper"", ""reference product"": ""Facilities anode refinery, secondary copper"", ""unit"": ""unit""}",structural_namecore,[Rule namecore] All source-name words appear in a BAFU product.
anode refinery construction,anode refinery,SE,unit,accept_product_identity,0.381439,0.85,False,False,"Branch has stronger reference-product token coverage under the same normalization, without losing a checked process distinction.","{""location"": ""RER"", ""name"": ""Refinery"", ""reference product"": ""Refinery"", ""unit"": ""unit""}","{""location"": ""SE"", ""name"": ""Facilities anode refinery, secondary copper"", ""reference product"": ""Facilities anode refinery, secondary copper"", ""unit"": ""unit""}",structural_namecore,[Rule namecore] All source-name words appear in a BAFU product.
"ash, from combustion of bagasse from sugarcane, Recycled Content cut-off","ash, from combustion of bagasse from sugarcane",GLO,kilogram,accept_product_identity,0.267539,1,False,True,"Branch has stronger reference-product token coverage under the same normalization, without losing a checked process distinction.","{""location"": ""BR"", ""name"": ""xx Bagasse, from sugarcane, at sugar refinery"", ""reference product"": ""xx Bagasse, from sugarcane, at sugar refinery"", ""unit"": ""kilogram""}","{""location"": ""BR"", ""name"": ""Ash, bagasse, at fermentation plant"", ""reference product"": ""Ash, bagasse, at fermentation plant"", ""unit"": ""kilogram""}",review,[Manual] exact:  | Reviewed by hand (Karin).
azodicarbonamide production,azodicarbonamide,RER,kilogram,accept_chemical_proxy,0.204623,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""RER"", ""name"": ""Ammonium bicarbonate, at plant"", ""reference product"": ""Ammonium bicarbonate, at plant"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
azodicarbonamide production,azodicarbonamide,RoW,kilogram,accept_chemical_proxy,0.096186,0.6,False,True,Low-confidence named target does not preserve the source chemical identity; branch provides the correct broad chemical family. Coarse proxy only.,"{""location"": ""CH"", ""name"": ""Acetamide-anillide-compounds, at regional storehouse"", ""reference product"": ""Acetamide-anillide-compounds, at regional storehouse"", ""unit"": ""kilogram""}","{""location"": ""GLO"", ""name"": ""Chemicals organic, at plant"", ""reference product"": ""Chemicals organic, at plant"", ""unit"": ""kilogram""}",chemical_proxy,"[Rule chem-proxy] generic organic chemistry proxy | No specific BAFU dataset -> generic 'Chemicals organic/inorganic, at plant'. VERIFY (may over-apply)."
bentonite quarry construction,bentonite quarry infrastructure,RoW,unit,accept_functional_match,0.222922,0.7,False,True,Bentonite-mine infrastructure replaces cable-car infrastructure.,"{""location"": ""CH"", ""name"": ""Cable car infrastructure"", ""reference product"": ""Cable car infrastructure"", ""unit"": ""unit""}","{""location"": ""DE"", ""name"": ""Mine, bentonite"", ""reference product"": ""Mine, bentonite"", ""unit"": ""unit""}",review,[Manual] good proxy:  | Reviewed by hand (Karin).
